Data;Codigo;Tipo;Sigla;Compra;Venda;X;Y
2072018;220;A;USD;3,9049;3,9055;1;1
3072018;220;A;USD;3,8914;3,892;1;1
4072018;220;A;USD;3,9052;3,9058;1;1
5072018;220;A;USD;3,9186;3,9192;1;1
6072018;220;A;USD;3,9258;3,9264;1;1
9072018;220;A;USD;3,868;3,8692;1;1
10072018;220;A;USD;3,8446;3,8452;1;1
11072018;220;A;USD;3,8411;3,8417;1;1
12072018;220;A;USD;3,8558;3,8564;1;1
13072018;220;A;USD;3,8739;3,8745;1;1
16072018;220;A;USD;3,8573;3,8579;1;1
17072018;220;A;USD;3,8665;3,8671;1;1
18072018;220;A;USD;3,8468;3,8474;1;1
19072018;220;A;USD;3,8841;3,8847;1;1
20072018;220;A;USD;3,7787;3,7793;1;1
23072018;220;A;USD;3,7909;3,7915;1;1
24072018;220;A;USD;3,7453;3,7459;1;1
25072018;220;A;USD;3,7114;3,712;1;1
26072018;220;A;USD;3,7237;3,7243;1;1
27072018;220;A;USD;3,7158;3,7164;1;1
30072018;220;A;USD;3,7149;3,7155;1;1
31072018;220;A;USD;3,7543;3,7549;1;1
1082018;220;A;USD;3,7485;3,7491;1;1
2082018;220;A;USD;3,7639;3,7645;1;1
3082018;220;A;USD;3,7195;3,7201;1;1
6082018;220;A;USD;3,7208;3,7214;1;1
7082018;220;A;USD;3,7112;3,7118;1;1
8082018;220;A;USD;3,7513;3,7519;1;1
9082018;220;A;USD;3,8024;3,803;1;1
10082018;220;A;USD;3,8466;3,8472;1;1
13082018;220;A;USD;3,8982;3,8988;1;1
14082018;220;A;USD;3,8806;3,8812;1;1
15082018;220;A;USD;3,9128;3,9134;1;1
16082018;220;A;USD;3,8804;3,881;1;1
17082018;220;A;USD;3,9383;3,9389;1;1
20082018;220;A;USD;3,9424;3,943;1;1
21082018;220;A;USD;3,9867;3,9873;1;1
22082018;220;A;USD;4,0734;4,074;1;1
23082018;220;A;USD;4,0721;4,0727;1;1
24082018;220;A;USD;4,0848;4,0854;1;1
27082018;220;A;USD;4,0681;4,0687;1;1
28082018;220;A;USD;4,1186;4,1192;1;1
29082018;220;A;USD;4,1347;4,1353;1;1
30082018;220;A;USD;4,1806;4,1812;1;1
31082018;220;A;USD;4,1347;4,1353;1;1
3092018;220;A;USD;4,1273;4,1279;1;1
4092018;220;A;USD;4,1646;4,1652;1;1
5092018;220;A;USD;4,1603;4,1609;1;1
6092018;220;A;USD;4,1454;4,146;1;1
10092018;220;A;USD;4,1001;4,1007;1;1
11092018;220;A;USD;4,1635;4,1641;1;1
12092018;220;A;USD;4,1253;4,1259;1;1
13092018;220;A;USD;4,1631;4,1637;1;1
14092018;220;A;USD;4,1873;4,1879;1;1
17092018;220;A;USD;4,1689;4,1695;1;1
18092018;220;A;USD;4,1363;4,1369;1;1
19092018;220;A;USD;4,1345;4,1351;1;1
20092018;220;A;USD;4,0991;4,0997;1;1
21092018;220;A;USD;4,0722;4,0728;1;1
24092018;220;A;USD;4,0588;4,0594;1;1
25092018;220;A;USD;4,128;4,1286;1;1
26092018;220;A;USD;4,0564;4,057;1;1
27092018;220;A;USD;4,0086;4,0092;1;1
28092018;220;A;USD;4,0033;4,0039;1;1
1102018;220;A;USD;4,0267;4,0273;1;1
2102018;220;A;USD;3,9499;3,9505;1;1
3102018;220;A;USD;3,8536;3,8542;1;1
4102018;220;A;USD;3,9041;3,9047;1;1
5102018;220;A;USD;3,8693;3,8699;1;1
8102018;220;A;USD;3,7582;3,7588;1;1
9102018;220;A;USD;3,7385;3,7391;1;1
10102018;220;A;USD;3,7504;3,751;1;1
11102018;220;A;USD;3,7454;3,746;1;1
15102018;220;A;USD;3,7326;3,7332;1;1
16102018;220;A;USD;3,7073;3,7079;1;1
17102018;220;A;USD;3,7002;3,7008;1;1
18102018;220;A;USD;3,6957;3,6963;1;1
19102018;220;A;USD;3,7073;3,7079;1;1
22102018;220;A;USD;3,6897;3,6903;1;1
23102018;220;A;USD;3,7074;3,708;1;1
24102018;220;A;USD;3,7054;3,706;1;1
25102018;220;A;USD;3,7008;3,7014;1;1
26102018;220;A;USD;3,6746;3,6753;1;1
29102018;220;A;USD;3,6362;3,6368;1;1
30102018;220;A;USD;3,7013;3,7019;1;1
31102018;220;A;USD;3,7171;3,7177;1;1
1112018;220;A;USD;3,6968;3,6973;1;1
5112018;220;A;USD;3,7042;3,7048;1;1
6112018;220;A;USD;3,7486;3,7492;1;1
7112018;220;A;USD;3,7586;3,7592;1;1
8112018;220;A;USD;3,7385;3,7391;1;1
9112018;220;A;USD;3,75;3,7506;1;1
12112018;220;A;USD;3,7472;3,7478;1;1
13112018;220;A;USD;3,7786;3,7792;1;1
14112018;220;A;USD;3,7918;3,7924;1;1
16112018;220;A;USD;3,7519;3,7525;1;1
19112018;220;A;USD;3,7547;3,7553;1;1
20112018;220;A;USD;3,7574;3,7591;1;1
21112018;220;A;USD;3,7866;3,7872;1;1
22112018;220;A;USD;3,8097;3,8103;1;1
23112018;220;A;USD;3,8075;3,8081;1;1
26112018;220;A;USD;3,8649;3,8655;1;1
27112018;220;A;USD;3,8919;3,8925;1;1
28112018;220;A;USD;3,8625;3,8631;1;1
29112018;220;A;USD;3,8562;3,8568;1;1
30112018;220;A;USD;3,8627;3,8633;1;1
3122018;220;A;USD;3,8279;3,8285;1;1
4122018;220;A;USD;3,8307;3,8313;1;1
5122018;220;A;USD;3,8555;3,8561;1;1
6122018;220;A;USD;3,9172;3,9178;1;1
7122018;220;A;USD;3,8958;3,8964;1;1
10122018;220;A;USD;3,9104;3,911;1;1
11122018;220;A;USD;3,9007;3,9013;1;1
12122018;220;A;USD;3,8623;3,8629;1;1
13122018;220;A;USD;3,8784;3,879;1;1
14122018;220;A;USD;3,9084;3,909;1;1
17122018;220;A;USD;3,9115;3,9121;1;1
18122018;220;A;USD;3,8991;3,8997;1;1
19122018;220;A;USD;3,8901;3,8907;1;1
20122018;220;A;USD;3,8437;3,8443;1;1
21122018;220;A;USD;3,8665;3,8671;1;1
24122018;220;A;USD;3,8839;3,8855;1;1
26122018;220;A;USD;3,9252;3,9258;1;1
27122018;220;A;USD;3,9324;3,933;1;1
28122018;220;A;USD;3,8742;3,8748;1;1
31122018;220;A;USD;3,8742;3,8748;1;1
