Data;Codigo;Tipo;Sigla;Compra;Venda;X;Y
2012018;220;A;USD;3,2691;3,2697;1;1
3012018;220;A;USD;3,2529;3,2535;1;1
4012018;220;A;USD;3,2312;3,2318;1;1
5012018;220;A;USD;3,2403;3,2409;1;1
8012018;220;A;USD;3,2351;3,2357;1;1
9012018;220;A;USD;3,2391;3,2397;1;1
10012018;220;A;USD;3,2461;3,2467;1;1
11012018;220;A;USD;3,2295;3,2301;1;1
12012018;220;A;USD;3,2192;3,2197;1;1
15012018;220;A;USD;3,1957;3,1963;1;1
16012018;220;A;USD;3,2213;3,2219;1;1
17012018;220;A;USD;3,2318;3,2324;1;1
18012018;220;A;USD;3,2123;3,2129;1;1
19012018;220;A;USD;3,2081;3,2087;1;1
22012018;220;A;USD;3,1928;3,1934;1;1
23012018;220;A;USD;3,2243;3,2249;1;1
24012018;220;A;USD;3,1964;3,197;1;1
25012018;220;A;USD;3,138;3,1391;1;1
26012018;220;A;USD;3,1444;3,145;1;1
29012018;220;A;USD;3,1648;3,1655;1;1
30012018;220;A;USD;3,1655;3,1661;1;1
31012018;220;A;USD;3,1618;3,1624;1;1
1022018;220;A;USD;3,1724;3,173;1;1
2022018;220;A;USD;3,2054;3,206;1;1
5022018;220;A;USD;3,2349;3,2355;1;1
6022018;220;A;USD;3,2607;3,2613;1;1
7022018;220;A;USD;3,2461;3,2467;1;1
8022018;220;A;USD;3,2686;3,2692;1;1
9022018;220;A;USD;3,2815;3,2821;1;1
14022018;220;A;USD;3,2531;3,2536;1;1
15022018;220;A;USD;3,2202;3,2208;1;1
16022018;220;A;USD;3,2375;3,2381;1;1
19022018;220;A;USD;3,2341;3,2347;1;1
20022018;220;A;USD;3,2501;3,2507;1;1
21022018;220;A;USD;3,2549;3,2555;1;1
22022018;220;A;USD;3,2592;3,2598;1;1
23022018;220;A;USD;3,2411;3,2417;1;1
26022018;220;A;USD;3,2345;3,2351;1;1
27022018;220;A;USD;3,2377;3,2383;1;1
28022018;220;A;USD;3,2443;3,2449;1;1
1032018;220;A;USD;3,2614;3,262;1;1
2032018;220;A;USD;3,2608;3,2614;1;1
5032018;220;A;USD;3,2576;3,2582;1;1
6032018;220;A;USD;3,224;3,2246;1;1
7032018;220;A;USD;3,2312;3,2318;1;1
8032018;220;A;USD;3,2512;3,2518;1;1
9032018;220;A;USD;3,249;3,2496;1;1
12032018;220;A;USD;3,26;3,2606;1;1
13032018;220;A;USD;3,2486;3,2492;1;1
14032018;220;A;USD;3,2578;3,2584;1;1
15032018;220;A;USD;3,2853;3,2859;1;1
16032018;220;A;USD;3,2899;3,2905;1;1
19032018;220;A;USD;3,2905;3,2911;1;1
20032018;220;A;USD;3,2975;3,2981;1;1
21032018;220;A;USD;3,2915;3,2921;1;1
22032018;220;A;USD;3,3027;3,3033;1;1
23032018;220;A;USD;3,3035;3,3041;1;1
26032018;220;A;USD;3,3028;3,3034;1;1
27032018;220;A;USD;3,325;3,3256;1;1
28032018;220;A;USD;3,3374;3,338;1;1
29032018;220;A;USD;3,3232;3,3238;1;1
2042018;220;A;USD;3,3098;3,3104;1;1
3042018;220;A;USD;3,3133;3,3139;1;1
4042018;220;A;USD;3,3532;3,3538;1;1
5042018;220;A;USD;3,319;3,3196;1;1
6042018;220;A;USD;3,366;3,3666;1;1
9042018;220;A;USD;3,3897;3,3903;1;1
10042018;220;A;USD;3,4189;3,4195;1;1
11042018;220;A;USD;3,4046;3,4052;1;1
12042018;220;A;USD;3,3852;3,3858;1;1
13042018;220;A;USD;3,4099;3,4105;1;1
16042018;220;A;USD;3,4257;3,4263;1;1
17042018;220;A;USD;3,4035;3,4041;1;1
18042018;220;A;USD;3,3838;3,3844;1;1
19042018;220;A;USD;3,3971;3,3977;1;1
20042018;220;A;USD;3,4096;3,4101;1;1
23042018;220;A;USD;3,4415;3,4421;1;1
24042018;220;A;USD;3,4661;3,4667;1;1
25042018;220;A;USD;3,5034;3,504;1;1
26042018;220;A;USD;3,4971;3,4977;1;1
27042018;220;A;USD;3,467;3,4676;1;1
30042018;220;A;USD;3,4805;3,4811;1;1
2052018;220;A;USD;3,5418;3,5424;1;1
3052018;220;A;USD;3,5478;3,5484;1;1
4052018;220;A;USD;3,5302;3,5308;1;1
7052018;220;A;USD;3,5452;3,5458;1;1
8052018;220;A;USD;3,5782;3,5788;1;1
9052018;220;A;USD;3,5937;3,5943;1;1
10052018;220;A;USD;3,5561;3,5566;1;1
11052018;220;A;USD;3,571;3,5716;1;1
14052018;220;A;USD;3,6091;3,6097;1;1
15052018;220;A;USD;3,6747;3,6753;1;1
16052018;220;A;USD;3,6797;3,6803;1;1
17052018;220;A;USD;3,6868;3,6874;1;1
18052018;220;A;USD;3,7497;3,7503;1;1
21052018;220;A;USD;3,7066;3,7072;1;1
22052018;220;A;USD;3,6496;3,6502;1;1
23052018;220;A;USD;3,6501;3,6507;1;1
24052018;220;A;USD;3,643;3,6436;1;1
25052018;220;A;USD;3,6581;3,6587;1;1
28052018;220;A;USD;3,7086;3,7092;1;1
29052018;220;A;USD;3,7283;3,7289;1;1
30052018;220;A;USD;3,7364;3,737;1;1
1062018;220;A;USD;3,7407;3,7413;1;1
4062018;220;A;USD;3,7418;3,7424;1;1
5062018;220;A;USD;3,7746;3,7752;1;1
6062018;220;A;USD;3,8187;3,8193;1;1
7062018;220;A;USD;3,8994;3,9;1;1
8062018;220;A;USD;3,7853;3,7859;1;1
11062018;220;A;USD;3,6907;3,6913;1;1
12062018;220;A;USD;3,7038;3,7044;1;1
13062018;220;A;USD;3,7048;3,7054;1;1
14062018;220;A;USD;3,7051;3,7057;1;1
15062018;220;A;USD;3,7732;3,7738;1;1
18062018;220;A;USD;3,7537;3,7543;1;1
19062018;220;A;USD;3,756;3,7566;1;1
20062018;220;A;USD;3,7329;3,7335;1;1
21062018;220;A;USD;3,7888;3,7894;1;1
22062018;220;A;USD;3,7657;3,7663;1;1
25062018;220;A;USD;3,7754;3,776;1;1
26062018;220;A;USD;3,7715;3,7721;1;1
27062018;220;A;USD;3,8352;3,8358;1;1
28062018;220;A;USD;3,8515;3,8521;1;1
29062018;220;A;USD;3,8552;3,8558;1;1
