Data;Codigo;Tipo;Sigla;Compra;Venda;X;Y
1072015;220;A;USD;3,1185;3,1191;1;1
2072015;220;A;USD;3,1166;3,1173;1;1
3072015;220;A;USD;3,1265;3,1271;1;1
6072015;220;A;USD;3,1425;3,1431;1;1
7072015;220;A;USD;3,1803;3,1809;1;1
8072015;220;A;USD;3,2275;3,2282;1;1
9072015;220;A;USD;3,2152;3,2163;1;1
10072015;220;A;USD;3,1891;3,1897;1;1
13072015;220;A;USD;3,1588;3,1594;1;1
14072015;220;A;USD;3,1224;3,123;1;1
15072015;220;A;USD;3,1526;3,1532;1;1
16072015;220;A;USD;3,1369;3,1375;1;1
17072015;220;A;USD;3,1826;3,1832;1;1
20072015;220;A;USD;3,2143;3,2149;1;1
21072015;220;A;USD;3,1807;3,1813;1;1
22072015;220;A;USD;3,2088;3,2094;1;1
23072015;220;A;USD;3,2844;3,285;1;1
24072015;220;A;USD;3,3248;3,3254;1;1
27072015;220;A;USD;3,3551;3,3557;1;1
28072015;220;A;USD;3,3808;3,3815;1;1
29072015;220;A;USD;3,3413;3,3419;1;1
30072015;220;A;USD;3,3646;3,3652;1;1
31072015;220;A;USD;3,3934;3,394;1;1
3082015;220;A;USD;3,4419;3,4425;1;1
4082015;220;A;USD;3,4669;3,4675;1;1
5082015;220;A;USD;3,4844;3,4851;1;1
6082015;220;A;USD;3,5341;3,5347;1;1
7082015;220;A;USD;3,5175;3,5181;1;1
10082015;220;A;USD;3,4903;3,4909;1;1
11082015;220;A;USD;3,4919;3,4925;1;1
12082015;220;A;USD;3,482;3,4826;1;1
13082015;220;A;USD;3,5068;3,5074;1;1
14082015;220;A;USD;3,4755;3,4761;1;1
17082015;220;A;USD;3,4739;3,4746;1;1
18082015;220;A;USD;3,4805;3,4811;1;1
19082015;220;A;USD;3,4843;3,4849;1;1
20082015;220;A;USD;3,4745;3,4751;1;1
21082015;220;A;USD;3,489;3,4896;1;1
24082015;220;A;USD;3,5488;3,5494;1;1
25082015;220;A;USD;3,5339;3,5345;1;1
26082015;220;A;USD;3,632;3,6326;1;1
27082015;220;A;USD;3,5549;3,5555;1;1
28082015;220;A;USD;3,5784;3,579;1;1
31082015;220;A;USD;3,6461;3,6467;1;1
1092015;220;A;USD;3,6719;3,6725;1;1
2092015;220;A;USD;3,7307;3,7314;1;1
3092015;220;A;USD;3,7753;3,776;1;1
4092015;220;A;USD;3,798;3,7986;1;1
8092015;220;A;USD;3,8021;3,8028;1;1
9092015;220;A;USD;3,7864;3,787;1;1
10092015;220;A;USD;3,8691;3,8698;1;1
