Data;Codigo;Tipo;Sigla;Compra;Venda;X;Y
06072016;220;A;USD;3,3236;3,3242;1;1
07072016;220;A;USD;3,3382;3,3388;1;1
08072016;220;A;USD;3,2962;3,2968;1;1
11072016;220;A;USD;3,3025;3,3031;1;1
12072016;220;A;USD;3,2744;3,275;1;1
13072016;220;A;USD;3,289;3,2896;1;1
14072016;220;A;USD;3,2305;3,2311;1;1
15072016;220;A;USD;3,265;3,2656;1;1
18072016;220;A;USD;3,2628;3,2634;1;1
19072016;220;A;USD;3,2795;3,2801;1;1
20072016;220;A;USD;3,2506;3,2512;1;1
21072016;220;A;USD;3,2579;3,2585;1;1
22072016;220;A;USD;3,2848;3,2854;1;1
25072016;220;A;USD;3,2813;3,2819;1;1
26072016;220;A;USD;3,2784;3,279;1;1
27072016;220;A;USD;3,2814;3,282;1;1
28072016;220;A;USD;3,2734;3,274;1;1
29072016;220;A;USD;3,2384;3,239;1;1
01082016;220;A;USD;3,2656;3,2662;1;1
02082016;220;A;USD;3,2484;3,249;1;1
03082016;220;A;USD;3,2727;3,2733;1;1
04082016;220;A;USD;3,2177;3,2183;1;1
05082016;220;A;USD;3,1853;3,1859;1;1
08082016;220;A;USD;3,1765;3,1771;1;1
09082016;220;A;USD;3,1497;3,1503;1;1
10082016;220;A;USD;3,1296;3,1302;1;1
11082016;220;A;USD;3,1358;3,1364;1;1
12082016;220;A;USD;3,1596;3,1602;1;1
15082016;220;A;USD;3,1666;3,1672;1;1
16082016;220;A;USD;3,1743;3,1749;1;1
17082016;220;A;USD;3,2242;3,2248;1;1
18082016;220;A;USD;3,2209;3,2215;1;1
19082016;220;A;USD;3,2261;3,2267;1;1
22082016;220;A;USD;3,2157;3,2163;1;1
23082016;220;A;USD;3,2047;3,2054;1;1
24082016;220;A;USD;3,2366;3,2372;1;1
25082016;220;A;USD;3,2313;3,2319;1;1
26082016;220;A;USD;3,2147;3,2153;1;1
29082016;220;A;USD;3,2607;3,2613;1;1
30082016;220;A;USD;3,2519;3,2525;1;1
31082016;220;A;USD;3,2397;3,2403;1;1
01092016;220;A;USD;3,2466;3,2472;1;1
02092016;220;A;USD;3,2425;3,2431;1;1
05092016;220;A;USD;3,2715;3,2721;1;1
06092016;220;A;USD;3,2446;3,2452;1;1
08092016;220;A;USD;3,1928;3,1934;1;1
09092016;220;A;USD;3,2632;3,2638;1;1
12092016;220;A;USD;3,2848;3,2854;1;1
13092016;220;A;USD;3,2966;3,2972;1;1
14092016;220;A;USD;3,3256;3,3262;1;1
15092016;220;A;USD;3,332;3,3326;1;1
16092016;220;A;USD;3,2998;3,3004;1;1
19092016;220;A;USD;3,263;3,2636;1;1
20092016;220;A;USD;3,2534;3,254;1;1
21092016;220;A;USD;3,2402;3,2408;1;1
22092016;220;A;USD;3,2009;3,2015;1;1
23092016;220;A;USD;3,2236;3,2242;1;1
26092016;220;A;USD;3,2394;3,24;1;1
27092016;220;A;USD;3,2352;3,2358;1;1
28092016;220;A;USD;3,247;3,2476;1;1
29092016;220;A;USD;3,2229;3,2235;1;1
30092016;220;A;USD;3,2456;3,2462;1;1
03102016;220;A;USD;3,2332;3,2338;1;1
04102016;220;A;USD;3,2197;3,2203;1;1
05102016;220;A;USD;3,2353;3,2359;1;1
06102016;220;A;USD;3,2304;3,231;1;1
07102016;220;A;USD;3,2128;3,2134;1;1
10102016;220;A;USD;3,2119;3,2125;1;1
11102016;220;A;USD;3,213;3,2136;1;1
13102016;220;A;USD;3,2081;3,2087;1;1
14102016;220;A;USD;3,1858;3,1864;1;1
17102016;220;A;USD;3,1957;3,1963;1;1
18102016;220;A;USD;3,1868;3,1874;1;1
19102016;220;A;USD;3,1794;3,18;1;1
20102016;220;A;USD;3,1599;3,1605;1;1
21102016;220;A;USD;3,1587;3,1593;1;1
24102016;220;A;USD;3,1305;3,1311;1;1
25102016;220;A;USD;3,1187;3,1193;1;1
26102016;220;A;USD;3,1213;3,1219;1;1
27102016;220;A;USD;3,1423;3,1429;1;1
28102016;220;A;USD;3,1809;3,1815;1;1
31102016;220;A;USD;3,1805;3,1811;1;1
01112016;220;A;USD;3,2047;3,2053;1;1
03112016;220;A;USD;3,2304;3,231;1;1
04112016;220;A;USD;3,2443;3,2449;1;1
07112016;220;A;USD;3,2018;3,2024;1;1
08112016;220;A;USD;3,2018;3,2024;1;1
09112016;220;A;USD;3,2252;3,2258;1;1
10112016;220;A;USD;3,3098;3,3104;1;1
11112016;220;A;USD;3,4371;3,4377;1;1
14112016;220;A;USD;3,444;3,4446;1;1
16112016;220;A;USD;3,4177;3,4183;1;1
17112016;220;A;USD;3,4046;3,4052;1;1
18112016;220;A;USD;3,3911;3,3917;1;1
21112016;220;A;USD;3,3511;3,3517;1;1
22112016;220;A;USD;3,347;3,3476;1;1
23112016;220;A;USD;3,3921;3,3927;1;1
24112016;220;A;USD;3,3981;3,3987;1;1
25112016;220;A;USD;3,4273;3,4279;1;1
28112016;220;A;USD;3,399;3,3996;1;1
29112016;220;A;USD;3,4054;3,406;1;1
30112016;220;A;USD;3,3961;3,3967;1;1
01122016;220;A;USD;3,4356;3,4362;1;1
02122016;220;A;USD;3,4644;3,465;1;1
05122016;220;A;USD;3,4592;3,4598;1;1
06122016;220;A;USD;3,4348;3,4354;1;1
07122016;220;A;USD;3,3889;3,3895;1;1
08122016;220;A;USD;3,4002;3,4008;1;1
09122016;220;A;USD;3,3852;3,3858;1;1
12122016;220;A;USD;3,3691;3,3697;1;1
13122016;220;A;USD;3,3334;3,334;1;1
14122016;220;A;USD;3,3097;3,3103;1;1
15122016;220;A;USD;3,3824;3,383;1;1
16122016;220;A;USD;3,3706;3,3712;1;1
19122016;220;A;USD;3,3772;3,3778;1;1
20122016;220;A;USD;3,358;3,3586;1;1
21122016;220;A;USD;3,3291;3,3297;1;1
22122016;220;A;USD;3,3296;3,3302;1;1
23122016;220;A;USD;3,269;3,2696;1;1
26122016;220;A;USD;3,2695;3,2701;1;1
27122016;220;A;USD;3,277;3,2776;1;1
28122016;220;A;USD;3,2768;3,2774;1;1
29122016;220;A;USD;3,2585;3,2591;1;1
30122016;220;A;USD;3,2585;3,2591;1;1
02012017;220;A;USD;3,2723;3,2729;1;1
03012017;220;A;USD;3,2626;3,2632;1;1
04012017;220;A;USD;3,2327;3,2333;1;1
05012017;220;A;USD;3,2123;3,2129;1;1
06012017;220;A;USD;3,2051;3,2057;1;1
09012017;220;A;USD;3,2091;3,2097;1;1
10012017;220;A;USD;3,1912;3,1918;1;1
11012017;220;A;USD;3,2148;3,2154;1;1
12012017;220;A;USD;3,1655;3,1661;1;1
13012017;220;A;USD;3,2028;3,2034;1;1
16012017;220;A;USD;3,2228;3,2234;1;1
17012017;220;A;USD;3,2094;3,21;1;1
18012017;220;A;USD;3,2205;3,2211;1;1
19012017;220;A;USD;3,2107;3,2113;1;1
20012017;220;A;USD;3,1912;3,1918;1;1
23012017;220;A;USD;3,1603;3,1609;1;1
24012017;220;A;USD;3,1643;3,1649;1;1
25012017;220;A;USD;3,1679;3,169;1;1
26012017;220;A;USD;3,1798;3,1804;1;1
27012017;220;A;USD;3,159;3,1596;1;1
30012017;220;A;USD;3,131;3,1316;1;1
31012017;220;A;USD;3,1264;3,127;1;1
01022017;220;A;USD;3,1473;3,1479;1;1
02022017;220;A;USD;3,119;3,1196;1;1
03022017;220;A;USD;3,1235;3,1241;1;1
06022017;220;A;USD;3,1173;3,1179;1;1
07022017;220;A;USD;3,1298;3,1304;1;1
08022017;220;A;USD;3,1248;3,1255;1;1
09022017;220;A;USD;3,1179;3,1185;1;1
10022017;220;A;USD;3,1149;3,1155;1;1
13022017;220;A;USD;3,1169;3,1175;1;1
14022017;220;A;USD;3,0998;3,1004;1;1
15022017;220;A;USD;3,0773;3,0779;1;1
16022017;220;A;USD;3,0504;3,051;1;1
17022017;220;A;USD;3,0944;3,095;1;1
20022017;220;A;USD;3,0912;3,0918;1;1
21022017;220;A;USD;3,0964;3,097;1;1
22022017;220;A;USD;3,0818;3,0824;1;1
23022017;220;A;USD;3,0632;3,0638;1;1
24022017;220;A;USD;3,0987;3,0993;1;1
01032017;220;A;USD;3,097;3,0976;1;1
02032017;220;A;USD;3,1132;3,1138;1;1
03032017;220;A;USD;3,1358;3,1364;1;1
06032017;220;A;USD;3,1105;3,1111;1;1
07032017;220;A;USD;3,1179;3,1185;1;1
08032017;220;A;USD;3,1471;3,1477;1;1
09032017;220;A;USD;3,1729;3,1735;1;1
10032017;220;A;USD;3,1617;3,1623;1;1
13032017;220;A;USD;3,1535;3,1541;1;1
14032017;220;A;USD;3,1633;3,1639;1;1
15032017;220;A;USD;3,1623;3,1629;1;1
16032017;220;A;USD;3,1074;3,108;1;1
17032017;220;A;USD;3,1069;3,1075;1;1
20032017;220;A;USD;3,0892;3,0898;1;1
21032017;220;A;USD;3,0759;3,0765;1;1
22032017;220;A;USD;3,0933;3,0939;1;1
23032017;220;A;USD;3,1242;3,1248;1;1
24032017;220;A;USD;3,1276;3,1282;1;1
27032017;220;A;USD;3,125;3,1256;1;1
28032017;220;A;USD;3,1297;3,1303;1;1
29032017;220;A;USD;3,1223;3,1229;1;1
30032017;220;A;USD;3,1241;3,1247;1;1
31032017;220;A;USD;3,1678;3,1684;1;1
03042017;220;A;USD;3,1161;3,1167;1;1
04042017;220;A;USD;3,1225;3,1231;1;1
05042017;220;A;USD;3,0917;3,0923;1;1
06042017;220;A;USD;3,1154;3,116;1;1
07042017;220;A;USD;3,1296;3,1302;1;1
10042017;220;A;USD;3,1403;3,1409;1;1
11042017;220;A;USD;3,1418;3,1424;1;1
12042017;220;A;USD;3,1457;3,1463;1;1
13042017;220;A;USD;3,1263;3,1269;1;1
17042017;220;A;USD;3,103;3,1036;1;1
18042017;220;A;USD;3,0952;3,0958;1;1
19042017;220;A;USD;3,1288;3,1294;1;1
20042017;220;A;USD;3,1447;3,1453;1;1
24042017;220;A;USD;3,1245;3,1251;1;1
25042017;220;A;USD;3,1571;3,1577;1;1
26042017;220;A;USD;3,1841;3,1847;1;1
27042017;220;A;USD;3,1757;3,1763;1;1
28042017;220;A;USD;3,1978;3,1984;1;1
02052017;220;A;USD;3,1718;3,1724;1;1
03052017;220;A;USD;3,1483;3,1489;1;1
04052017;220;A;USD;3,1774;3,178;1;1
05052017;220;A;USD;3,1758;3,1764;1;1
08052017;220;A;USD;3,1932;3,1938;1;1
09052017;220;A;USD;3,1851;3,1857;1;1
10052017;220;A;USD;3,16;3,1606;1;1
11052017;220;A;USD;3,1553;3,1559;1;1
12052017;220;A;USD;3,1284;3,129;1;1
15052017;220;A;USD;3,1005;3,1011;1;1
16052017;220;A;USD;3,0918;3,0924;1;1
17052017;220;A;USD;3,107;3,1076;1;1
18052017;220;A;USD;3,3756;3,3807;1;1
19052017;220;A;USD;3,2872;3,2878;1;1
22052017;220;A;USD;3,2857;3,2863;1;1
23052017;220;A;USD;3,2648;3,2654;1;1
24052017;220;A;USD;3,2623;3,2629;1;1
25052017;220;A;USD;3,2818;3,2824;1;1
26052017;220;A;USD;3,2608;3,2614;1;1
29052017;220;A;USD;3,2703;3,2709;1;1
30052017;220;A;USD;3,2653;3,2659;1;1
31052017;220;A;USD;3,2431;3,2437;1;1
01062017;220;A;USD;3,2301;3,2307;1;1
02062017;220;A;USD;3,2395;3,2401;1;1
05062017;220;A;USD;3,2814;3,282;1;1
06062017;220;A;USD;3,2811;3,2817;1;1
07062017;220;A;USD;3,2741;3,2747;1;1
08062017;220;A;USD;3,2832;3,2838;1;1
09062017;220;A;USD;3,2734;3,274;1;1
12062017;220;A;USD;3,298;3,2986;1;1
13062017;220;A;USD;3,3202;3,3208;1;1
14062017;220;A;USD;3,283;3,2836;1;1
16062017;220;A;USD;3,2886;3,2892;1;1
19062017;220;A;USD;3,2969;3,2975;1;1
20062017;220;A;USD;3,3139;3,3145;1;1
21062017;220;A;USD;3,3241;3,3247;1;1
22062017;220;A;USD;3,3356;3,3362;1;1
23062017;220;A;USD;3,3336;3,3342;1;1
26062017;220;A;USD;3,3122;3,3128;1;1
27062017;220;A;USD;3,3166;3,3172;1;1
28062017;220;A;USD;3,3024;3,303;1;1
29062017;220;A;USD;3,2946;3,2952;1;1
30062017;220;A;USD;3,3076;3,3082;1;1
03072017;220;A;USD;3,3009;3,3015;1;1
04072017;220;A;USD;3,3044;3,305;1;1
05072017;220;A;USD;3,3187;3,3193;1;1
06072017;220;A;USD;3,3058;3,3064;1;1
07072017;220;A;USD;3,2889;3,2895;1;1
10072017;220;A;USD;3,2644;3,265;1;1
11072017;220;A;USD;3,2516;3,2522;1;1
12072017;220;A;USD;3,2258;3,2264;1;1
13072017;220;A;USD;3,2102;3,2108;1;1
14072017;220;A;USD;3,1893;3,1899;1;1
17072017;220;A;USD;3,1815;3,1821;1;1
18072017;220;A;USD;3,1662;3,1668;1;1
19072017;220;A;USD;3,1527;3,1533;1;1
20072017;220;A;USD;3,1396;3,1402;1;1
21072017;220;A;USD;3,125;3,1256;1;1
24072017;220;A;USD;3,1453;3,1459;1;1
25072017;220;A;USD;3,155;3,1556;1;1
26072017;220;A;USD;3,1651;3,1657;1;1
27072017;220;A;USD;3,1507;3,1513;1;1
28072017;220;A;USD;3,1451;3,1457;1;1
31072017;220;A;USD;3,1301;3,1307;1;1
01082017;220;A;USD;3,1154;3,1161;1;1
02082017;220;A;USD;3,1262;3,1268;1;1
03082017;220;A;USD;3,1188;3,1194;1;1
04082017;220;A;USD;3,1218;3,1224;1;1
07082017;220;A;USD;3,1261;3,1267;1;1
08082017;220;A;USD;3,1314;3,132;1;1
09082017;220;A;USD;3,1458;3,1464;1;1
10082017;220;A;USD;3,1537;3,1543;1;1
11082017;220;A;USD;3,1689;3,1695;1;1
14082017;220;A;USD;3,1882;3,1888;1;1
15082017;220;A;USD;3,197;3,1976;1;1
16082017;220;A;USD;3,1664;3,167;1;1
17082017;220;A;USD;3,1597;3,1603;1;1
18082017;220;A;USD;3,1648;3,1654;1;1
21082017;220;A;USD;3,1437;3,1443;1;1
22082017;220;A;USD;3,1533;3,1539;1;1
23082017;220;A;USD;3,1563;3,1569;1;1
24082017;220;A;USD;3,1398;3,1404;1;1
25082017;220;A;USD;3,1456;3,1462;1;1
28082017;220;A;USD;3,1557;3,1563;1;1
29082017;220;A;USD;3,1689;3,1695;1;1
30082017;220;A;USD;3,1632;3,1638;1;1
31082017;220;A;USD;3,1465;3,1471;1;1
01092017;220;A;USD;3,1327;3,1333;1;1
04092017;220;A;USD;3,1383;3,1389;1;1
05092017;220;A;USD;3,1197;3,1203;1;1
06092017;220;A;USD;3,1127;3,1133;1;1
08092017;220;A;USD;3,0902;3,0908;1;1
11092017;220;A;USD;3,0846;3,0852;1;1
12092017;220;A;USD;3,1138;3,1144;1;1
13092017;220;A;USD;3,1337;3,1343;1;1
14092017;220;A;USD;3,1348;3,1354;1;1
15092017;220;A;USD;3,1249;3,1255;1;1
18092017;220;A;USD;3,1233;3,1239;1;1
19092017;220;A;USD;3,1317;3,1323;1;1
20092017;220;A;USD;3,1275;3,1281;1;1
21092017;220;A;USD;3,1341;3,1347;1;1
22092017;220;A;USD;3,1279;3,1285;1;1
25092017;220;A;USD;3,1406;3,1412;1;1
26092017;220;A;USD;3,1668;3,1674;1;1
27092017;220;A;USD;3,1926;3,1932;1;1
28092017;220;A;USD;3,1865;3,1871;1;1
29092017;220;A;USD;3,1674;3,168;1;1
02102017;220;A;USD;3,1636;3,1642;1;1
03102017;220;A;USD;3,1496;3,1502;1;1
04102017;220;A;USD;3,1309;3,1315;1;1
05102017;220;A;USD;3,1341;3,1347;1;1
06102017;220;A;USD;3,1642;3,1648;1;1
09102017;220;A;USD;3,1764;3,177;1;1
10102017;220;A;USD;3,1682;3,1688;1;1
11102017;220;A;USD;3,1633;3,1639;1;1
13102017;220;A;USD;3,1567;3,1572;1;1
16102017;220;A;USD;3,1601;3,1607;1;1
17102017;220;A;USD;3,1763;3,1769;1;1
18102017;220;A;USD;3,1667;3,1673;1;1
19102017;220;A;USD;3,1727;3,1732;1;1
20102017;220;A;USD;3,1827;3,1833;1;1
23102017;220;A;USD;3,1997;3,2003;1;1
24102017;220;A;USD;3,2464;3,247;1;1
25102017;220;A;USD;3,2381;3,2387;1;1
26102017;220;A;USD;3,2438;3,2444;1;1
27102017;220;A;USD;3,2795;3,2801;1;1
30102017;220;A;USD;3,2541;3,2547;1;1
31102017;220;A;USD;3,2763;3,2769;1;1
01112017;220;A;USD;3,273;3,2736;1;1
03112017;220;A;USD;3,2914;3,292;1;1
06112017;220;A;USD;3,2845;3,2851;1;1
07112017;220;A;USD;3,2727;3,2733;1;1
08112017;220;A;USD;3,2503;3,2509;1;1
09112017;220;A;USD;3,2509;3,2515;1;1
10112017;220;A;USD;3,2655;3,2661;1;1
13112017;220;A;USD;3,2867;3,2873;1;1
14112017;220;A;USD;3,2828;3,2834;1;1
16112017;220;A;USD;3,2802;3,2808;1;1
17112017;220;A;USD;3,2782;3,2788;1;1
20112017;220;A;USD;3,2608;3,2623;1;1
21112017;220;A;USD;3,2585;3,2591;1;1
22112017;220;A;USD;3,2555;3,2561;1;1
23112017;220;A;USD;3,2365;3,2371;1;1
24112017;220;A;USD;3,2294;3,23;1;1
27112017;220;A;USD;3,2212;3,2218;1;1
28112017;220;A;USD;3,2226;3,2232;1;1
29112017;220;A;USD;3,213;3,2136;1;1
30112017;220;A;USD;3,261;3,2616;1;1
01122017;220;A;USD;3,263;3,2636;1;1
04122017;220;A;USD;3,25;3,2506;1;1
05122017;220;A;USD;3,2316;3,2322;1;1
