Data;Codigo;Tipo;Sigla;Compra;Venda;X;Y
2012015;220;A;USD;2,6923;2,6929;1;1
5012015;220;A;USD;2,7101;2,7107;1;1
6012015;220;A;USD;2,7016;2,7023;1;1
7012015;220;A;USD;2,6801;2,6807;1;1
8012015;220;A;USD;2,6913;2,6919;1;1
9012015;220;A;USD;2,6577;2,6583;1;1
12012015;220;A;USD;2,6569;2,6575;1;1
13012015;220;A;USD;2,6479;2,6485;1;1
14012015;220;A;USD;2,6216;2,6222;1;1
15012015;220;A;USD;2,6116;2,6122;1;1
16012015;220;A;USD;2,6187;2,6193;1;1
19012015;220;A;USD;2,6237;2,6243;1;1
20012015;220;A;USD;2,6241;2,6247;1;1
21012015;220;A;USD;2,5961;2,5968;1;1
22012015;220;A;USD;2,5748;2,5754;1;1
23012015;220;A;USD;2,585;2,5856;1;1
26012015;220;A;USD;2,596;2,5966;1;1
27012015;220;A;USD;2,5803;2,5809;1;1
28012015;220;A;USD;2,5791;2,5797;1;1
29012015;220;A;USD;2,5954;2,596;1;1
30012015;220;A;USD;2,6617;2,6623;1;1
2022015;220;A;USD;2,6888;2,6894;1;1
3022015;220;A;USD;2,7053;2,7059;1;1
4022015;220;A;USD;2,7142;2,7148;1;1
5022015;220;A;USD;2,738;2,7386;1;1
6022015;220;A;USD;2,7635;2,7641;1;1
9022015;220;A;USD;2,7867;2,7873;1;1
10022015;220;A;USD;2,8069;2,8075;1;1
11022015;220;A;USD;2,857;2,8576;1;1
12022015;220;A;USD;2,8619;2,8625;1;1
13022015;220;A;USD;2,8385;2,8392;1;1
18022015;220;A;USD;2,8424;2,843;1;1
19022015;220;A;USD;2,8539;2,8545;1;1
20022015;220;A;USD;2,8694;2,8701;1;1
23022015;220;A;USD;2,8805;2,8811;1;1
24022015;220;A;USD;2,8643;2,8649;1;1
25022015;220;A;USD;2,864;2,8646;1;1
26022015;220;A;USD;2,8721;2,8728;1;1
27022015;220;A;USD;2,8777;2,8782;1;1
2032015;220;A;USD;2,8649;2,8655;1;1
3032015;220;A;USD;2,9045;2,9051;1;1
4032015;220;A;USD;2,9798;2,9804;1;1
5032015;220;A;USD;2,9925;2,9931;1;1
6032015;220;A;USD;3,036;3,0366;1;1
9032015;220;A;USD;3,1012;3,1018;1;1
10032015;220;A;USD;3,1293;3,1299;1;1
11032015;220;A;USD;3,1156;3,1162;1;1
12032015;220;A;USD;3,1165;3,1171;1;1
13032015;220;A;USD;3,2258;3,2264;1;1
16032015;220;A;USD;3,2251;3,2257;1;1
17032015;220;A;USD;3,2677;3,2683;1;1
18032015;220;A;USD;3,2512;3,2518;1;1
19032015;220;A;USD;3,2635;3,2642;1;1
20032015;220;A;USD;3,2417;3,2423;1;1
23032015;220;A;USD;3,1793;3,18;1;1
24032015;220;A;USD;3,1304;3,131;1;1
25032015;220;A;USD;3,1469;3,1476;1;1
26032015;220;A;USD;3,1909;3,1915;1;1
27032015;220;A;USD;3,2253;3,2259;1;1
30032015;220;A;USD;3,2595;3,2601;1;1
31032015;220;A;USD;3,2074;3,208;1;1
1042015;220;A;USD;3,1549;3,1556;1;1
2042015;220;A;USD;3,1486;3,1492;1;1
6042015;220;A;USD;3,092;3,0926;1;1
7042015;220;A;USD;3,1225;3,1231;1;1
8042015;220;A;USD;3,0828;3,0834;1;1
9042015;220;A;USD;3,0459;3,0466;1;1
10042015;220;A;USD;3,0789;3,0796;1;1
13042015;220;A;USD;3,1005;3,1011;1;1
14042015;220;A;USD;3,0874;3,088;1;1
15042015;220;A;USD;3,0675;3,0681;1;1
16042015;220;A;USD;3,0243;3,0249;1;1
17042015;220;A;USD;3,0538;3,0544;1;1
20042015;220;A;USD;3,0467;3,0473;1;1
22042015;220;A;USD;3,018;3,0186;1;1
23042015;220;A;USD;3,0077;3,0084;1;1
24042015;220;A;USD;2,9739;2,9745;1;1
27042015;220;A;USD;2,9229;2,9236;1;1
28042015;220;A;USD;2,8937;2,8943;1;1
29042015;220;A;USD;2,9369;2,9375;1;1
30042015;220;A;USD;2,993;2,9936;1;1
4052015;220;A;USD;3,0748;3,0754;1;1
5052015;220;A;USD;3,0619;3,0626;1;1
6052015;220;A;USD;3,0414;3,042;1;1
7052015;220;A;USD;3,0415;3,0421;1;1
8052015;220;A;USD;2,9959;2,9966;1;1
11052015;220;A;USD;3,0169;3,0175;1;1
12052015;220;A;USD;3,0382;3,0389;1;1
13052015;220;A;USD;3,0096;3,0103;1;1
14052015;220;A;USD;3,0026;3,0032;1;1
15052015;220;A;USD;2,9887;2,9894;1;1
18052015;220;A;USD;3,0139;3,0145;1;1
19052015;220;A;USD;3,0278;3,0284;1;1
20052015;220;A;USD;3,034;3,0347;1;1
21052015;220;A;USD;3,0289;3,0295;1;1
22052015;220;A;USD;3,0647;3,0653;1;1
25052015;220;A;USD;3,1206;3,1212;1;1
26052015;220;A;USD;3,1345;3,1351;1;1
27052015;220;A;USD;3,1734;3,174;1;1
28052015;220;A;USD;3,1741;3,1748;1;1
29052015;220;A;USD;3,1781;3,1788;1;1
1062015;220;A;USD;3,1783;3,1789;1;1
2062015;220;A;USD;3,1437;3,1443;1;1
3062015;220;A;USD;3,1178;3,1184;1;1
5062015;220;A;USD;3,1677;3,1684;1;1
8062015;220;A;USD;3,1184;3,119;1;1
9062015;220;A;USD;3,0985;3,0991;1;1
10062015;220;A;USD;3,0837;3,0843;1;1
11062015;220;A;USD;3,1508;3,1514;1;1
12062015;220;A;USD;3,1101;3,1107;1;1
15062015;220;A;USD;3,103;3,1036;1;1
16062015;220;A;USD;3,1076;3,1082;1;1
17062015;220;A;USD;3,0983;3,0989;1;1
18062015;220;A;USD;3,0466;3,0472;1;1
19062015;220;A;USD;3,0782;3,0788;1;1
22062015;220;A;USD;3,0751;3,0757;1;1
23062015;220;A;USD;3,1036;3,1042;1;1
24062015;220;A;USD;3,0846;3,0852;1;1
25062015;220;A;USD;3,1009;3,1015;1;1
26062015;220;A;USD;3,1265;3,1271;1;1
29062015;220;A;USD;3,1383;3,139;1;1
30062015;220;A;USD;3,1019;3,1026;1;1
